flight_id,route_id,date,ticket_price
81,4,2025-06-27,8325
82,4,2025-07-15,6391
83,2,2025-01-13,10638
84,4,2025-06-17,5188
85,3,2025-10-02,9708
86,1,2025-07-11,3284
87,1,2025-05-03,8089
88,4,2025-06-02,8431
89,1,2025-02-15,9397
90,5,2025-11-27,10129
91,4,2025-04-03,3793
92,4,2025-03-28,7612
93,5,2025-02-14,3008
94,5,2025-06-17,7856
95,2,2025-02-07,8303
96,5,2025-05-22,4715
97,3,2025-11-06,7660
98,4,2025-02-12,5609
99,4,2025-03-11,3369
100,5,2025-08-01,5633
101,2,2025-10-27,5752
102,1,2025-04-27,6788
103,3,2025-10-05,6180
104,3,2025-01-19,7068
105,1,2025-07-11,9312
106,2,2025-03-15,4785
107,5,2025-12-01,7475
108,2,2025-10-25,10066
109,2,2025-07-27,7220
110,3,2025-03-04,8472
111,4,2025-12-24,11753
112,3,2025-06-23,9621
113,5,2025-07-12,5864
114,1,2025-02-06,4165
115,1,2025-11-21,6031
116,3,2025-05-02,10055
117,2,2025-03-27,6697
118,3,2025-02-25,4879
119,2,2025-12-16,10949
120,1,2025-03-04,11372
121,3,2025-09-01,5377
122,2,2025-10-29,4135
123,3,2025-11-04,5080
124,5,2025-12-25,3404
125,4,2025-04-04,9280
126,4,2025-09-08,3945
127,1,2025-05-09,8365
128,1,2025-07-23,4754
129,1,2025-09-10,5095
130,5,2025-11-21,11988
131,1,2025-08-13,6581
132,3,2025-07-27,7727
133,1,2025-01-06,11337
134,3,2025-10-19,11870
135,3,2025-11-08,7601
136,3,2025-09-04,3963
137,2,2025-07-18,9343
138,2,2025-01-17,5757
139,2,2025-10-14,4594
140,4,2025-07-07,7775
141,3,2025-02-07,3790
142,1,2025-03-11,7918
143,1,2025-08-14,3317
144,4,2025-02-12,11803
145,1,2025-07-07,4484
146,2,2025-01-28,9211
147,4,2025-07-14,4713
148,5,2025-02-10,7092
149,5,2025-12-21,8582
150,1,2025-05-05,10442
151,2,2025-07-03,9773
152,1,2025-05-02,11176
153,2,2025-07-24,7383
154,3,2025-12-06,9334
155,4,2025-09-05,7177
156,4,2025-07-08,9215
157,3,2025-10-27,6169
158,5,2025-10-14,4493
159,4,2025-07-03,3023
160,3,2025-11-04,6993
161,5,2025-05-20,6709
162,3,2025-01-22,9620
163,5,2025-10-15,3827
164,2,2025-03-12,8202
165,5,2025-09-04,3779
166,3,2025-05-07,10103
167,4,2025-10-02,6472
168,3,2025-01-26,4552
169,1,2025-06-03,8897
170,1,2025-06-08,9260
171,4,2025-05-03,6762
172,1,2025-02-01,5607
173,3,2025-04-21,6814
174,3,2025-11-15,4839
175,3,2025-04-21,9294
176,1,2025-02-14,10257
177,4,2025-11-12,9184
178,2,2025-05-10,4127
179,3,2025-12-09,11500
180,2,2025-09-06,10255
181,2,2025-05-21,4949
182,5,2025-06-16,7187
183,5,2025-02-15,6165
184,4,2025-02-13,9214
185,3,2025-02-08,10651
186,4,2025-01-02,6178
187,4,2025-04-27,3820
188,1,2025-03-20,8853
189,5,2025-01-09,5343
190,2,2025-09-05,8949
191,4,2025-04-08,7330
192,5,2025-12-21,9551
193,4,2025-08-31,9595
194,3,2025-07-01,8890
195,1,2025-08-02,10745
196,3,2025-05-18,6179
197,3,2025-05-28,10689
198,1,2025-06-18,3977
199,3,2025-07-04,7993
200,5,2025-02-05,9985
201,4,2025-04-09,7249
202,1,2025-03-21,10467
203,2,2025-10-27,4005
204,2,2025-06-12,3428
205,3,2025-04-03,7247
206,4,2025-11-02,4900
207,2,2025-11-17,4656
208,2,2025-07-21,6289
209,5,2025-05-25,7866
210,2,2025-12-25,7033
211,3,2025-04-12,11004
212,1,2025-04-19,10436
213,2,2025-12-02,8081
214,1,2025-04-03,11706
215,5,2025-11-24,11696
216,3,2025-10-28,4812
217,1,2025-02-27,6032
218,3,2025-10-13,8421
219,1,2025-09-24,9525
220,4,2025-08-22,9128
221,5,2025-06-09,6742
222,2,2025-03-09,3120
223,4,2025-06-12,4050
224,2,2025-09-10,6491
225,3,2025-04-10,9185
226,2,2025-11-08,8565
227,1,2025-06-27,11933
228,2,2025-03-31,10374
229,1,2025-06-28,10242
230,2,2025-12-08,11839
231,4,2025-03-12,8910
232,5,2025-10-18,3202
233,1,2025-10-27,11598
234,2,2025-01-30,9497
235,5,2025-11-13,7946
236,2,2025-11-25,7127
237,5,2025-06-27,5414
238,2,2025-07-19,7096
239,2,2025-04-03,8141
240,2,2025-07-10,6023
241,1,2025-02-14,10155
242,2,2025-05-28,4758
243,2,2025-02-02,9842
244,1,2025-02-13,5668
245,1,2025-07-13,5654
246,3,2025-08-13,7166
247,5,2025-08-20,4065
248,3,2025-09-06,3332
249,3,2025-11-19,4145
250,5,2025-12-15,6062
251,2,2025-07-24,6009
252,2,2025-11-11,6763
253,5,2025-07-31,8628
254,4,2025-04-11,3135
255,2,2025-10-15,6037
256,5,2025-11-11,4796
257,4,2025-02-18,7052
258,4,2025-02-11,3900
259,5,2025-03-27,6127
260,2,2025-03-22,5783
261,5,2025-09-10,9473
262,4,2025-05-22,8112
263,1,2026-01-01,4133
264,2,2025-03-31,6043
265,3,2025-07-14,8304
266,1,2025-02-13,10865
267,4,2025-06-04,8075
268,5,2025-12-24,8434
269,1,2025-10-11,4936
270,4,2025-02-16,6467
271,1,2025-04-05,9953
272,3,2025-08-08,11282
273,1,2025-05-21,11769
274,2,2025-04-25,6458
275,3,2025-03-09,4285
276,4,2025-08-16,8053
277,4,2025-12-30,4754
278,5,2025-09-25,5766
279,1,2026-01-01,5571
280,4,2025-07-22,6663
281,5,2025-10-09,10824
282,4,2025-05-26,9851
283,1,2025-04-22,4075
284,5,2025-08-27,5044
285,3,2025-10-10,4380
286,2,2025-09-17,10454
287,5,2025-02-08,5483
288,2,2025-12-11,3755
289,4,2025-01-29,11436
290,3,2025-03-08,8323
291,5,2025-05-01,10380
292,2,2025-03-04,5203
293,1,2025-01-22,11917
294,5,2025-07-05,3220
295,5,2025-10-09,3640
296,5,2025-02-15,5513
297,2,2025-05-01,7033
298,5,2025-07-29,4328
299,2,2025-09-13,8402
300,3,2025-03-27,5182
301,5,2025-10-28,10530
302,5,2025-03-17,10028
303,4,2025-05-20,4615
304,2,2025-04-14,3073
305,1,2025-02-20,9773
306,5,2025-02-12,6322
307,3,2025-06-30,3633
308,2,2026-01-01,8573
309,1,2025-11-11,11182
310,5,2025-04-26,5671
311,5,2025-04-26,8763
312,4,2025-10-25,7865
313,3,2025-08-04,7399
314,1,2025-11-18,3074
315,2,2025-07-30,3153
316,5,2025-02-12,4641
317,2,2025-04-18,6785
318,2,2025-08-14,4646
319,1,2025-12-24,4191
320,4,2025-03-04,10400
321,5,2025-05-23,3508
322,2,2025-07-28,6679
323,5,2025-07-04,3232
324,4,2025-03-07,4602
325,2,2025-11-16,7432
326,2,2025-01-19,9123
327,5,2025-12-01,3576
328,4,2025-02-23,11128
329,4,2025-01-13,7999
330,3,2025-11-12,4491
331,3,2025-02-08,4285
332,1,2025-12-28,10851
333,2,2025-01-14,4581
334,1,2025-11-02,8559
335,3,2025-05-11,10798
336,2,2025-01-20,9354
337,3,2025-09-10,11492
338,1,2025-07-15,11559
339,3,2025-07-08,4275
340,4,2025-12-12,7442
341,3,2025-08-17,4929
342,5,2025-07-13,6721
343,5,2025-08-12,7501
344,5,2025-11-10,11647
345,1,2025-11-14,3224
346,3,2025-03-16,9504
347,1,2025-05-30,4097
348,4,2025-06-23,11642
349,2,2025-03-24,3082
350,2,2025-01-28,7380
351,3,2025-10-27,9599
352,3,2025-07-19,9163
353,3,2025-04-06,9921
354,2,2025-10-07,10889
355,5,2025-07-06,10877
356,4,2025-10-14,3285
357,5,2025-07-02,5514
358,4,2025-09-27,4697
359,1,2025-09-15,8877
360,2,2025-09-17,7602
361,1,2025-11-22,3753
362,3,2025-10-22,5224
363,2,2025-04-04,7396
364,2,2025-11-28,4536
365,2,2025-01-03,5479
366,3,2025-10-17,11755
367,3,2025-02-23,5881
368,4,2025-11-15,9927
369,2,2025-11-22,3219
370,1,2025-09-06,10000
371,2,2025-04-26,10924
372,4,2025-11-21,8460
373,1,2025-04-11,10956
374,4,2025-07-08,8680
375,5,2025-07-29,8855
376,5,2025-07-24,11852
377,4,2025-05-09,11081
378,4,2025-12-16,3692
379,1,2025-02-14,10918
380,2,2025-06-08,5051
381,3,2025-03-22,6061
382,4,2025-05-17,9947
383,3,2025-04-17,9446
384,5,2025-03-24,11895
385,3,2025-01-01,7897
386,2,2025-10-25,7815
387,1,2025-07-13,7584
388,4,2025-12-12,9061
389,3,2025-11-05,7482
390,4,2025-05-14,7436
391,4,2025-02-10,4807
392,2,2025-07-13,5490
393,1,2025-05-02,11831
394,3,2025-08-27,7611
395,5,2025-09-08,11873
396,3,2025-01-16,8538
397,2,2025-06-16,7541
398,3,2025-07-20,9099
399,2,2025-10-17,5145
400,1,2025-04-28,7038
401,5,2025-06-03,5966
402,1,2025-01-28,11959
403,3,2025-12-12,9167
404,3,2025-06-06,7155
405,4,2025-05-03,4671
406,3,2025-04-30,11963
407,4,2025-03-03,7943
408,1,2025-02-08,8972
409,5,2025-07-01,3947
410,5,2025-03-17,7179
411,2,2025-06-18,9153
412,4,2025-12-10,6884
413,4,2025-03-25,11685
414,3,2025-10-23,7055
415,4,2025-04-19,11420
416,2,2025-01-20,4336
417,5,2025-10-08,6176
418,2,2025-12-21,4687
419,1,2025-05-06,10861
420,5,2025-12-11,4849
421,1,2025-02-20,3745
422,3,2025-11-28,10798
423,2,2025-07-03,11405
424,4,2025-12-29,3765
425,2,2025-03-22,6928
426,5,2025-05-27,10911
427,4,2025-12-22,3544
428,2,2025-09-03,8555
429,5,2025-01-26,10980
430,1,2025-01-31,10753
431,5,2025-06-04,5256
432,4,2025-09-09,3206
433,4,2025-10-26,6708
434,2,2025-06-22,5573
435,1,2025-03-27,8457
436,5,2025-09-02,10852
437,5,2025-11-20,11581
438,2,2025-12-14,4743
439,2,2025-06-10,11393
440,4,2025-07-22,9811
441,5,2025-11-08,5151
442,3,2025-12-17,5746
443,5,2025-06-13,11099
444,3,2025-02-09,3366
445,3,2025-06-17,5456
446,2,2025-11-10,9879
447,1,2025-10-31,10279
448,1,2025-07-17,10361
449,2,2025-09-13,10007
450,1,2025-12-28,8976
451,4,2025-05-09,10297
452,3,2025-03-05,5402
453,1,2025-08-31,9872
454,4,2025-04-28,8524
455,4,2025-05-14,6467
456,4,2025-05-10,8755
457,3,2025-02-05,8718
458,4,2025-10-16,9564
459,4,2025-01-12,10811
460,4,2025-09-08,7674
461,5,2025-12-03,11850
462,1,2025-03-14,6471
463,5,2025-01-25,4304
464,3,2025-08-06,10562
465,3,2025-07-15,3752
466,3,2025-11-03,7489
467,2,2025-04-05,6291
468,4,2025-08-17,11911
469,3,2025-04-15,4917
470,4,2025-11-07,8388
471,5,2025-06-26,6101
472,5,2025-01-28,10523
473,4,2025-02-19,4038
474,2,2025-08-18,8527
475,3,2025-07-17,6481
476,2,2025-04-23,5266
477,2,2025-03-22,9893
478,3,2025-10-29,3672
479,3,2025-05-12,6772
480,1,2025-02-05,7574
481,2,2025-04-18,5315
482,2,2025-12-25,9329
483,1,2025-10-05,10466
484,4,2025-05-13,6879
485,5,2025-10-08,4504
486,3,2025-06-25,9930
487,3,2025-08-19,10470
488,1,2025-09-09,6803
489,3,2025-04-12,3738
490,1,2025-12-29,10482
491,4,2025-06-01,5858
492,3,2025-01-03,3777
493,2,2025-01-02,4521
494,5,2025-11-07,11176
495,5,2025-05-13,6013
496,4,2025-11-26,3214
497,2,2025-11-28,8669
498,1,2025-08-26,5908
499,1,2025-09-24,8110
500,4,2025-04-03,10615
