flight_id,route_id,date,passengers,ticket_price,revenue
91,4,2025-04-03,138,3793,523434
92,4,2025-03-28,81,7612,616572
93,5,2025-02-14,92,3008,276736
94,5,2025-06-17,192,7856,1508352
95,2,2025-02-07,147,8303,1220541
96,5,2025-05-22,205,4715,966575
97,3,2025-11-06,84,7660,643440
98,4,2025-02-12,139,5609,779651
99,4,2025-03-11,105,3369,353745
100,5,2025-08-01,193,5633,1087169
101,2,2025-10-27,132,5752,759264
102,1,2025-04-27,151,6788,1024988
103,3,2025-10-05,162,6180,1001160
104,3,2025-01-19,168,7068,1187424
105,1,2025-07-11,177,9312,1648224
106,2,2025-03-15,93,4785,445005
107,5,2025-12-01,106,7475,792350
108,2,2025-10-25,133,10066,1338778
109,2,2025-07-27,128,7220,924160
110,3,2025-03-04,170,8472,1440240
111,4,2025-12-24,185,11753,2174305
112,3,2025-06-23,112,9621,1077552
113,5,2025-07-12,148,5864,867872
114,1,2025-02-06,82,4165,341530
115,1,2025-11-21,196,6031,1182076
116,3,2025-05-02,87,10055,874785
117,2,2025-03-27,121,6697,810337
118,3,2025-02-25,101,4879,492779
119,2,2025-12-16,162,10949,1773738
120,1,2025-03-04,207,11372,2354004
121,3,2025-09-01,180,5377,967860
122,2,2025-10-29,166,4135,686410
123,3,2025-11-04,148,5080,751840
124,5,2025-12-25,178,3404,605912
125,4,2025-04-04,98,9280,909440
126,4,2025-09-08,92,3945,362940
127,1,2025-05-09,196,8365,1639540
128,1,2025-07-23,136,4754,646544
129,1,2025-09-10,110,5095,560450
130,5,2025-11-21,121,11988,1450548
131,1,2025-08-13,106,6581,697586
132,3,2025-07-27,217,7727,1676759
133,1,2025-01-06,84,11337,952308
134,3,2025-10-19,82,11870,973340
135,3,2025-11-08,172,7601,1307372
136,3,2025-09-04,204,3963,808452
137,2,2025-07-18,139,9343,1298677
138,2,2025-01-17,204,5757,1174428
139,2,2025-10-14,85,4594,390490
140,4,2025-07-07,185,7775,1438375
141,3,2025-02-07,116,3790,439640
142,1,2025-03-11,163,7918,1290634
143,1,2025-08-14,118,3317,391406
144,4,2025-02-12,218,11803,2573054
145,1,2025-07-07,194,4484,869896
146,2,2025-01-28,97,9211,893467
147,4,2025-07-14,178,4713,838914
148,5,2025-02-10,203,7092,1439676
149,5,2025-12-21,145,8582,1244390
150,1,2025-05-05,197,10442,2057074
151,2,2025-07-03,162,9773,1583226
152,1,2025-05-02,157,11176,1754632
153,2,2025-07-24,101,7383,745683
154,3,2025-12-06,113,9334,1054742
155,4,2025-09-05,202,7177,1449754
156,4,2025-07-08,143,9215,1317745
157,3,2025-10-27,91,6169,561379
158,5,2025-10-14,159,4493,714387
159,4,2025-07-03,187,3023,565301
160,3,2025-11-04,215,6993,1503495
161,5,2025-05-20,211,6709,1415599
162,3,2025-01-22,110,9620,1058200
163,5,2025-10-15,154,3827,589358
164,2,2025-03-12,157,8202,1287714
165,5,2025-09-04,133,3779,502607
166,3,2025-05-07,211,10103,2131733
167,4,2025-10-02,137,6472,886664
168,3,2025-01-26,95,4552,432440
169,1,2025-06-03,209,8897,1859473
170,1,2025-06-08,203,9260,1879780
171,4,2025-05-03,122,6762,824964
172,1,2025-02-01,93,5607,521451
173,3,2025-04-21,133,6814,906262
174,3,2025-11-15,171,4839,827469
175,3,2025-04-21,94,9294,873636
176,1,2025-02-14,82,10257,841074
177,4,2025-11-12,184,9184,1689856
178,2,2025-05-10,216,4127,891432
179,3,2025-12-09,207,11500,2380500
180,2,2025-09-06,121,10255,1240855
181,2,2025-05-21,217,4949,1073933
182,5,2025-06-16,167,7187,1200229
183,5,2025-02-15,120,6165,739800
184,4,2025-02-13,174,9214,1603236
185,3,2025-02-08,91,10651,969241
186,4,2025-01-02,97,6178,599266
187,4,2025-04-27,188,3820,718160
188,1,2025-03-20,218,8853,1929954
189,5,2025-01-09,122,5343,651846
190,2,2025-09-05,160,8949,1431840
191,4,2025-04-08,110,7330,806300
192,5,2025-12-21,201,9551,1919751
193,4,2025-08-31,126,9595,1208970
194,3,2025-07-01,82,8890,728980
195,1,2025-08-02,120,10745,1289400
196,3,2025-05-18,172,6179,1062788
197,3,2025-05-28,125,10689,1336125
198,1,2025-06-18,154,3977,612458
199,3,2025-07-04,152,7993,1214936
200,5,2025-02-05,95,9985,948575
201,4,2025-04-09,153,7249,1109097
202,1,2025-03-21,186,10467,1946862
203,2,2025-10-27,186,4005,744930
204,2,2025-06-12,217,3428,743876
205,3,2025-04-03,84,7247,608748
206,4,2025-11-02,102,4900,499800
207,2,2025-11-17,162,4656,754272
208,2,2025-07-21,171,6289,1075419
209,5,2025-05-25,204,7866,1604664
210,2,2025-12-25,214,7033,1505062
211,3,2025-04-12,204,11004,2244816
212,1,2025-04-19,87,10436,907932
213,2,2025-12-02,188,8081,1519228
214,1,2025-04-03,187,11706,2189022
215,5,2025-11-24,120,11696,1403520
216,3,2025-10-28,145,4812,697740
217,1,2025-02-27,151,6032,910832
218,3,2025-10-13,100,8421,842100
219,1,2025-09-24,168,9525,1600200
220,4,2025-08-22,175,9128,1597400
221,5,2025-06-09,139,6742,937138
222,2,2025-03-09,168,3120,524160
223,4,2025-06-12,220,4050,891000
224,2,2025-09-10,205,6491,1330655
225,3,2025-04-10,203,9185,1864555
226,2,2025-11-08,210,8565,1798650
227,1,2025-06-27,129,11933,1539357
228,2,2025-03-31,159,10374,1649466
229,1,2025-06-28,177,10242,1812834
230,2,2025-12-08,168,11839,1988952
231,4,2025-03-12,100,8910,891000
232,5,2025-10-18,114,3202,365028
233,1,2025-10-27,216,11598,2505168
234,2,2025-01-30,124,9497,1177628
235,5,2025-11-13,157,7946,1247522
236,2,2025-11-25,138,7127,983526
237,5,2025-06-27,90,5414,487260
238,2,2025-07-19,217,7096,1539832
239,2,2025-04-03,114,8141,928074
240,2,2025-07-10,103,6023,620369
241,1,2025-02-14,194,10155,1970070
242,2,2025-05-28,193,4758,918294
243,2,2025-02-02,152,9842,1495984
244,1,2025-02-13,95,5668,538460
245,1,2025-07-13,207,5654,1170378
246,3,2025-08-13,109,7166,781094
247,5,2025-08-20,182,4065,739830
248,3,2025-09-06,150,3332,499800
249,3,2025-11-19,185,4145,766825
250,5,2025-12-15,135,6062,818370
251,2,2025-07-24,184,6009,1105656
252,2,2025-11-11,140,6763,946820
253,5,2025-07-31,166,8628,1432248
254,4,2025-04-11,168,3135,526680
255,2,2025-10-15,167,6037,1008179
256,5,2025-11-11,96,4796,460416
257,4,2025-02-18,121,7052,853292
258,4,2025-02-11,83,3900,323700
259,5,2025-03-27,145,6127,888415
260,2,2025-03-22,111,5783,641913
261,5,2025-09-10,160,9473,1515680
262,4,2025-05-22,197,8112,1598064
263,1,2026-01-01,106,4133,438098
264,2,2025-03-31,109,6043,658687
265,3,2025-07-14,146,8304,1212384
266,1,2025-02-13,82,10865,890930
267,4,2025-06-04,203,8075,1639225
268,5,2025-12-24,198,8434,1669932
269,1,2025-10-11,96,4936,473856
270,4,2025-02-16,138,6467,892446
271,1,2025-04-05,91,9953,905723
272,3,2025-08-08,95,11282,1071790
273,1,2025-05-21,114,11769,1341666
274,2,2025-04-25,98,6458,632884
275,3,2025-03-09,189,4285,809865
276,4,2025-08-16,194,8053,1562282
277,4,2025-12-30,84,4754,399336
278,5,2025-09-25,172,5766,991752
279,1,2026-01-01,142,5571,791082
280,4,2025-07-22,138,6663,919494
281,5,2025-10-09,155,10824,1677720
282,4,2025-05-26,135,9851,1329885
283,1,2025-04-22,207,4075,843525
284,5,2025-08-27,98,5044,494312
285,3,2025-10-10,181,4380,792780
286,2,2025-09-17,140,10454,1463560
287,5,2025-02-08,156,5483,855348
288,2,2025-12-11,89,3755,334195
289,4,2025-01-29,160,11436,1829760
290,3,2025-03-08,153,8323,1273419
291,5,2025-05-01,100,10380,1038000
292,2,2025-03-04,194,5203,1009382
293,1,2025-01-22,135,11917,1608795
294,5,2025-07-05,93,3220,299460
295,5,2025-10-09,84,3640,305760
296,5,2025-02-15,183,5513,1008879
297,2,2025-05-01,220,7033,1547260
298,5,2025-07-29,139,4328,601592
299,2,2025-09-13,88,8402,739376
300,3,2025-03-27,96,5182,497472
301,5,2025-10-28,209,10530,2200770
302,5,2025-03-17,196,10028,1965488
303,4,2025-05-20,202,4615,932230
304,2,2025-04-14,145,3073,445585
305,1,2025-02-20,103,9773,1006619
306,5,2025-02-12,120,6322,758640
307,3,2025-06-30,89,3633,323337
308,2,2026-01-01,190,8573,1628870
309,1,2025-11-11,91,11182,1017562
310,5,2025-04-26,153,5671,867663
311,5,2025-04-26,84,8763,736092
312,4,2025-10-25,209,7865,1643785
313,3,2025-08-04,138,7399,1021062
314,1,2025-11-18,108,3074,331992
315,2,2025-07-30,88,3153,277464
316,5,2025-02-12,180,4641,835380
317,2,2025-04-18,148,6785,1004180
318,2,2025-08-14,119,4646,552874
319,1,2025-12-24,178,4191,745998
320,4,2025-03-04,199,10400,2069600
321,5,2025-05-23,133,3508,466564
322,2,2025-07-28,178,6679,1188862
323,5,2025-07-04,184,3232,594688
324,4,2025-03-07,178,4602,819156
325,2,2025-11-16,90,7432,668880
326,2,2025-01-19,109,9123,994407
327,5,2025-12-01,149,3576,532824
328,4,2025-02-23,111,11128,1235208
329,4,2025-01-13,155,7999,1239845
330,3,2025-11-12,182,4491,817362
331,3,2025-02-08,139,4285,595615
332,1,2025-12-28,190,10851,2061690
333,2,2025-01-14,144,4581,659664
334,1,2025-11-02,203,8559,1737477
335,3,2025-05-11,127,10798,1371346
336,2,2025-01-20,203,9354,1898862
337,3,2025-09-10,171,11492,1965132
338,1,2025-07-15,194,11559,2242446
339,3,2025-07-08,185,4275,790875
340,4,2025-12-12,164,7442,1220488
341,3,2025-08-17,125,4929,616125
342,5,2025-07-13,121,6721,813241
343,5,2025-08-12,118,7501,885118
344,5,2025-11-10,113,11647,1316111
345,1,2025-11-14,154,3224,496496
346,3,2025-03-16,174,9504,1653696
347,1,2025-05-30,96,4097,393312
348,4,2025-06-23,85,11642,989570
349,2,2025-03-24,107,3082,329774
350,2,2025-01-28,93,7380,686340
351,3,2025-10-27,151,9599,1449449
352,3,2025-07-19,109,9163,998767
353,3,2025-04-06,159,9921,1577439
354,2,2025-10-07,105,10889,1143345
355,5,2025-07-06,179,10877,1946983
356,4,2025-10-14,121,3285,397485
357,5,2025-07-02,85,5514,468690
358,4,2025-09-27,213,4697,1000461
359,1,2025-09-15,213,8877,1890801
360,2,2025-09-17,162,7602,1231524
361,1,2025-11-22,107,3753,401571
362,3,2025-10-22,171,5224,893304
363,2,2025-04-04,177,7396,1309092
364,2,2025-11-28,146,4536,662256
365,2,2025-01-03,141,5479,772539
366,3,2025-10-17,141,11755,1657455
367,3,2025-02-23,154,5881,905674
368,4,2025-11-15,141,9927,1399707
369,2,2025-11-22,182,3219,585858
370,1,2025-09-06,85,10000,850000
371,2,2025-04-26,146,10924,1594904
372,4,2025-11-21,101,8460,854460
373,1,2025-04-11,99,10956,1084644
374,4,2025-07-08,124,8680,1076320
375,5,2025-07-29,109,8855,965195
376,5,2025-07-24,180,11852,2133360
377,4,2025-05-09,131,11081,1451611
378,4,2025-12-16,123,3692,454116
379,1,2025-02-14,142,10918,1550356
380,2,2025-06-08,184,5051,929384
381,3,2025-03-22,219,6061,1327359
382,4,2025-05-17,129,9947,1283163
383,3,2025-04-17,98,9446,925708
384,5,2025-03-24,104,11895,1237080
385,3,2025-01-01,200,7897,1579400
386,2,2025-10-25,139,7815,1086285
387,1,2025-07-13,111,7584,841824
388,4,2025-12-12,218,9061,1975298
389,3,2025-11-05,137,7482,1025034
390,4,2025-05-14,155,7436,1152580
391,4,2025-02-10,114,4807,547998
392,2,2025-07-13,210,5490,1152900
393,1,2025-05-02,124,11831,1467044
394,3,2025-08-27,215,7611,1636365
395,5,2025-09-08,174,11873,2065902
396,3,2025-01-16,159,8538,1357542
397,2,2025-06-16,190,7541,1432790
398,3,2025-07-20,139,9099,1264761
399,2,2025-10-17,143,5145,735735
400,1,2025-04-28,192,7038,1351296
401,5,2025-06-03,216,5966,1288656
402,1,2025-01-28,92,11959,1100228
403,3,2025-12-12,164,9167,1503388
404,3,2025-06-06,208,7155,1488240
405,4,2025-05-03,209,4671,976239
406,3,2025-04-30,151,11963,1806413
407,4,2025-03-03,99,7943,786357
408,1,2025-02-08,84,8972,753648
409,5,2025-07-01,108,3947,426276
410,5,2025-03-17,211,7179,1514769
411,2,2025-06-18,116,9153,1061748
412,4,2025-12-10,185,6884,1273540
413,4,2025-03-25,191,11685,2231835
414,3,2025-10-23,111,7055,783105
415,4,2025-04-19,100,11420,1142000
416,2,2025-01-20,199,4336,862864
417,5,2025-10-08,103,6176,636128
418,2,2025-12-21,156,4687,731172
419,1,2025-05-06,181,10861,1965841
420,5,2025-12-11,100,4849,484900
421,1,2025-02-20,110,3745,411950
422,3,2025-11-28,133,10798,1436134
423,2,2025-07-03,187,11405,2132735
424,4,2025-12-29,82,3765,308730
425,2,2025-03-22,211,6928,1461808
426,5,2025-05-27,188,10911,2051268
427,4,2025-12-22,172,3544,609568
428,2,2025-09-03,160,8555,1368800
429,5,2025-01-26,160,10980,1756800
430,1,2025-01-31,161,10753,1731233
431,5,2025-06-04,173,5256,909288
432,4,2025-09-09,112,3206,359072
433,4,2025-10-26,119,6708,798252
434,2,2025-06-22,192,5573,1070016
435,1,2025-03-27,191,8457,1615287
436,5,2025-09-02,115,10852,1247980
437,5,2025-11-20,170,11581,1968770
438,2,2025-12-14,135,4743,640305
439,2,2025-06-10,90,11393,1025370
440,4,2025-07-22,169,9811,1658059
441,5,2025-11-08,145,5151,746895
442,3,2025-12-17,119,5746,683774
443,5,2025-06-13,129,11099,1431771
444,3,2025-02-09,192,3366,646272
445,3,2025-06-17,210,5456,1145760
446,2,2025-11-10,103,9879,1017537
447,1,2025-10-31,165,10279,1696035
448,1,2025-07-17,166,10361,1719926
449,2,2025-09-13,85,10007,850595
450,1,2025-12-28,186,8976,1669536
451,4,2025-05-09,144,10297,1482768
452,3,2025-03-05,207,5402,1118214
453,1,2025-08-31,187,9872,1846064
454,4,2025-04-28,142,8524,1210408
455,4,2025-05-14,197,6467,1273999
456,4,2025-05-10,115,8755,1006825
457,3,2025-02-05,177,8718,1543086
458,4,2025-10-16,155,9564,1482420
459,4,2025-01-12,100,10811,1081100
460,4,2025-09-08,122,7674,936228
461,5,2025-12-03,199,11850,2358150
462,1,2025-03-14,100,6471,647100
463,5,2025-01-25,213,4304,916752
464,3,2025-08-06,170,10562,1795540
465,3,2025-07-15,118,3752,442736
466,3,2025-11-03,123,7489,921147
467,2,2025-04-05,106,6291,666846
468,4,2025-08-17,207,11911,2465577
469,3,2025-04-15,207,4917,1017819
470,4,2025-11-07,121,8388,1014948
471,5,2025-06-26,178,6101,1085978
472,5,2025-01-28,210,10523,2209830
473,4,2025-02-19,220,4038,888360
474,2,2025-08-18,167,8527,1424009
475,3,2025-07-17,85,6481,550885
476,2,2025-04-23,140,5266,737240
477,2,2025-03-22,122,9893,1206946
478,3,2025-10-29,155,3672,569160
479,3,2025-05-12,171,6772,1158012
480,1,2025-02-05,124,7574,939176
481,2,2025-04-18,167,5315,887605
482,2,2025-12-25,202,9329,1884458
483,1,2025-10-05,198,10466,2072268
484,4,2025-05-13,129,6879,887391
485,5,2025-10-08,82,4504,369328
486,3,2025-06-25,116,9930,1151880
487,3,2025-08-19,180,10470,1884600
488,1,2025-09-09,128,6803,870784
489,3,2025-04-12,119,3738,444822
490,1,2025-12-29,199,10482,2085918
491,4,2025-06-01,108,5858,632664
492,3,2025-01-03,180,3777,679860
493,2,2025-01-02,199,4521,899679
494,5,2025-11-07,95,11176,1061720
495,5,2025-05-13,153,6013,919989
496,4,2025-11-26,127,3214,408178
497,2,2025-11-28,202,8669,1751138
498,1,2025-08-26,182,5908,1075256
499,1,2025-09-24,104,8110,843440
500,4,2025-04-03,176,10615,1868240
