airline_code,airline_id,source_airport,source_id,destination_airport,destination_id,avg_ticket_price,monthly_passengers,monthly_revenue,operating_cost,profit
2G,1654,BTK,2936,OVB,4078,10139,9527,96594253,62786264.45,33807988.55
2G,1654,CEK,2968,OVB,4078,15868,16210,257220280,167193182.0,90027098.0
2G,1654,HTA,2935,IKT,2937,19466,18594,361950804,235268022.6,126682781.4
2G,1654,IKT,2937,BTK,2936,19843,18626,369595718,240237216.70000002,129358501.29999998
2G,1654,IKT,2937,HTA,2935,16591,1768,29332888,19066377.2,10266510.8
2G,1654,IKT,2937,KCK,\N,19766,6095,120473770,78307950.5,42165819.5
2G,1654,IKT,2937,ODO,8944,12587,3326,41864362,27211835.3,14652526.7
2G,1654,IKT,2937,OVB,4078,23764,7092,168534288,109547287.2,58987000.8
2G,1654,IKT,2937,UKX,6924,14913,8476,126402588,82161682.2,44240905.8
2G,1654,IKT,2937,ULK,9026,11621,5823,67669083,43984903.95,23684179.049999997
2G,1654,IKT,2937,YKS,2923,15408,6522,100490976,65319134.4,35171841.6
2G,1654,KCK,\N,IKT,2937,24415,2285,55788275,36262378.75,19525896.25
2G,1654,MJZ,2925,OVB,4078,23296,4550,105996800,68897920.0,37098880.0
2G,1654,ODO,8944,IKT,2937,19196,19931,382595476,248687059.4,133908416.6
2G,1654,OVB,4078,BTK,2936,22457,7213,161982341,105288521.65,56693819.349999994
2G,1654,OVB,4078,CEK,2968,8882,15658,139074356,90398331.4,48676024.599999994
2G,1654,OVB,4078,IKT,2937,20260,5968,120911680,78592592.0,42319088.0
2G,1654,UKX,6924,IKT,2937,24741,6524,161410284,104916684.60000001,56493599.39999999
2G,1654,ULK,9026,IKT,2937,17526,1437,25184862,16370160.3,8814701.7
2G,1654,YKS,2923,IKT,2937,13702,15521,212668742,138234682.3,74434059.69999999
2I,8359,AYP,2786,LIM,2789,13340,3411,45502740,29576781.0,15925959.0
2I,8359,CUZ,2812,LIM,2789,17191,14823,254822193,165634425.45000002,89187767.54999998
2I,8359,CUZ,2812,PEM,2808,9460,14909,141039140,91675441.0,49363699.0
2I,8359,HUU,6067,LIM,2789,17828,5394,96164232,62506750.800000004,33657481.199999996
2I,8359,IQT,2801,PCL,2781,8477,18103,153459131,99748435.15,53710695.849999994
2I,8359,IQT,2801,TPP,2806,18096,12478,225801888,146771227.20000002,79030660.79999998
2I,8359,LIM,2789,AYP,2786,6851,11961,81944811,53264127.15,28680683.85
2I,8359,LIM,2789,CUZ,2812,6110,8437,51550070,33507545.5,18042524.5
2I,8359,LIM,2789,HUU,6067,7949,11826,94004874,61103168.1,32901705.9
2I,8359,LIM,2789,PCL,2781,21040,2837,59690480,38798812.0,20891668.0
2I,8359,LIM,2789,TPP,2806,17099,12796,218798804,142219222.6,76579581.4
2I,8359,PCL,2781,IQT,2801,23579,10709,252507511,164129882.15,88377628.85
2I,8359,PCL,2781,LIM,2789,6854,15797,108272638,70377214.7,37895423.3
2I,8359,PCL,2781,TPP,2806,9114,18863,171917382,111746298.3,60171083.7
2I,8359,PEM,2808,CUZ,2812,6809,8453,57556477,37411710.050000004,20144766.949999996
2I,8359,TPP,2806,IQT,2801,5440,2359,12832960,8341424.0,4491536.0
2I,8359,TPP,2806,LIM,2789,4743,5458,25887294,16826741.1,9060552.899999999
2I,8359,TPP,2806,PCL,2781,13856,19531,270621536,175903998.4,94717537.6
2J,470,ABJ,253,BOY,247,14379,904,12998616,8449100.4,4549515.6
2J,470,ABJ,253,OUA,246,20530,17760,364612800,236998320.0,127614480.0
2J,470,ACC,248,OUA,246,10487,16028,168085636,109255663.4,58829972.599999994
2J,470,BKO,1044,ABJ,253,5430,18204,98847720,64251018.0,34596702.0
2J,470,BKO,1044,DKR,1084,6687,4758,31816746,20680884.900000002,11135861.099999998
2J,470,BKO,1044,OUA,246,19071,19548,372799908,242319940.20000002,130479967.79999998
2J,470,BOY,247,ABJ,253,11533,7029,81065457,52692547.050000004,28372909.949999996
2J,470,BOY,247,OUA,246,23070,16636,383792520,249465138.0,134327382.0
2J,470,COO,245,LFW,298,7152,2233,15970416,10380770.4,5589645.6
2J,470,COO,245,OUA,246,10154,10077,102321858,66509207.7,35812650.3
2J,470,DKR,1084,BKO,1044,13003,2026,26344078,17123650.7,9220427.3
2J,470,DKR,1084,OUA,246,18400,16995,312708000,203260200.0,109447800.0
2J,470,LFW,298,OUA,246,21742,9901,215267542,139923902.3,75343639.69999999
2J,470,NIM,280,OUA,246,10381,19965,207256665,134716832.25,72539832.75
2J,470,OUA,246,ABJ,253,10106,15846,160139676,104090789.4,56048886.599999994
2J,470,OUA,246,ACC,248,16998,13701,232889598,151378238.70000002,81511359.29999998
2J,470,OUA,246,BKO,1044,17323,19011,329327553,214062909.45000002,115264643.54999998
2J,470,OUA,246,BOY,247,16958,16655,282435490,183583068.5,98852421.5
2J,470,OUA,246,COO,245,4909,1440,7068960,4594824.0,2474136.0
2J,470,OUA,246,DKR,1084,4576,18040,82551040,53658176.0,28892864.0
2J,470,OUA,246,LFW,298,4168,17963,74869784,48665359.6,26204424.4
2J,470,OUA,246,NIM,280,14627,18149,265465423,172552524.95000002,92912898.04999998
2K,1338,BOG,2709,GYE,2673,24702,11063,273278226,177630846.9,95647379.1
2K,1338,BOG,2709,UIO,2688,13837,19388,268271756,174376641.4,93895114.6
2K,1338,CLO,2715,GYE,2673,6698,12317,82499266,53624522.9,28874743.1
2K,1338,GYE,2673,BOG,2709,12958,8827,114380266,74347172.9,40033093.099999994
2K,1338,GYE,2673,CLO,2715,20451,17568,359283168,233534059.20000002,125749108.79999998
2K,1338,GYE,2673,SCY,6045,18875,3139,59248625,38511606.25,20737018.75
2K,1338,GYE,2673,UIO,2688,9826,1336,13127536,8532898.4,4594637.6
2K,1338,OCC,2670,UIO,2688,24931,13564,338164084,219806654.6,118357429.4
2K,1338,SCY,6045,GYE,2673,4952,15918,78825936,51236858.4,27589077.6
2K,1338,UIO,2688,BOG,2709,13258,9758,129371564,84091516.60000001,45280047.39999999
2K,1338,UIO,2688,GYE,2673,24877,16784,417535568,271398119.2,146137448.8
2K,1338,UIO,2688,OCC,2670,4305,2646,11391030,7404169.5,3986860.5
2L,2750,BDS,1506,ZRH,1678,13874,17007,235955118,153370826.70000002,82584291.29999998
2L,2750,BOD,1264,ZRH,1678,9371,13860,129882060,84423339.0,45458721.0
2L,2750,BRS,490,ZRH,1678,22101,17360,383673360,249387684.0,134285676.0
2L,2750,GVA,1665,LPA,1054,24617,14360,353500120,229775078.0,123725042.0
2L,2750,LCA,1197,ZRH,1678,17026,12528,213301728,138646123.20000002,74655604.79999998
2L,2750,LPA,1054,ZRH,1678,17911,11137,199474807,129658624.55,69816182.45
2L,2750,RMF,4197,ZRH,1678,11706,4380,51272280,33326982.0,17945298.0
2L,2750,TFS,1056,GVA,1665,23428,7588,177771664,115551581.60000001,62220082.39999999
2L,2750,ZRH,1678,BDS,1506,20871,15543,324397953,210858669.45000002,113539283.54999998
2L,2750,ZRH,1678,BOD,1264,8752,10078,88202656,57331726.4,30870929.6
2L,2750,ZRH,1678,BRS,490,19575,18058,353485350,229765477.5,123719872.5
2L,2750,ZRH,1678,LCA,1197,24743,15772,390246596,253660287.4,136586308.6
2L,2750,ZRH,1678,LPA,1054,4014,15192,60980688,39637447.2,21343240.799999997
2L,2750,ZRH,1678,RMF,4197,17210,17154,295220340,191893221.0,103327119.0
2N,3652,AJR,730,LYC,719,17504,2087,36530848,23745051.2,12785796.8
2N,3652,ARN,737,GEV,715,21932,13367,293165044,190557278.6,102607765.4
2N,3652,ARN,737,HAD,709,12733,3742,47646886,30970475.900000002,16676410.099999998
2N,3652,ARN,737,JKG,688,3002,16780,50373560,32742814.0,17630746.0
2N,3652,ARN,737,KRF,718,20830,15627,325510410,211581766.5,113928643.5
2N,3652,ARN,737,KSD,5595,20909,19990,417970910,271681091.5,146289818.5
2N,3652,ARN,737,LYC,719,10672,10301,109932272,71455976.8,38476295.2
2N,3652,ARN,737,MHQ,442,17657,18346,323935322,210557959.3,113377362.69999999
2N,3652,ARN,737,OER,722,7567,10607,80263169,52171059.85,28092109.15
2N,3652,ARN,737,POR,448,17642,14335,252898070,164383745.5,88514324.5
2N,3652,ARN,737,TRF,664,17315,7197,124616055,81000435.75,43615619.25
2N,3652,ARN,737,VBY,746,4525,6706,30344650,19724022.5,10620627.5
2N,3652,ARN,737,VHM,729,4127,16870,69622490,45254618.5,24367871.5
2N,3652,ARN,737,VXO,711,8882,11717,104070394,67645756.10000001,36424637.89999999
2N,3652,GEV,715,ARN,737,6983,15873,110841159,72046753.35000001,38794405.64999999
2N,3652,GEV,715,KRF,718,22144,16982,376049408,244432115.20000002,131617292.79999998
2N,3652,HAD,709,ARN,737,11350,15959,181134650,117737522.5,63397127.5
2N,3652,HAD,709,JKG,688,24342,8139,198119538,128777699.7,69341838.3
2N,3652,HAD,709,VXO,711,14496,17151,248620896,161603582.4,87017313.6
2N,3652,HMV,5599,VHM,729,14838,13944,206901072,134485696.8,72415375.19999999
2N,3652,JKG,688,ARN,737,4720,1166,5503520,3577288.0,1926232.0
2N,3652,JKG,688,HAD,709,3429,15712,53876448,35019691.2,18856756.799999997
2N,3652,KOK,435,POR,448,22771,3111,70840581,46046377.65,24794203.35
2N,3652,KRF,718,ARN,737,3805,8190,31162950,20255917.5,10907032.5
2N,3652,KRF,718,GEV,715,10730,14430,154833900,100642035.0,54191865.0
2N,3652,KSD,5595,ARN,737,14800,6977,103259600,67118740.0,36140860.0
2N,3652,LYC,719,AJR,730,12862,3176,40849712,26552312.8,14297399.2
2N,3652,LYC,719,ARN,737,13424,17472,234544128,152453683.20000002,82090444.79999998
2N,3652,MHQ,442,ARN,737,10866,12941,140616906,91400988.9,49215917.099999994
2N,3652,MHQ,442,TKU,460,18050,9029,162973450,105932742.5,57040707.5
2N,3652,OER,722,ARN,737,15487,10611,164332557,106816162.05,57516394.95
2N,3652,OSL,644,VXO,711,21130,18986,401174180,260763217.0,140410963.0
2N,3652,POR,448,ARN,737,5276,15756,83128656,54033626.4,29095029.6
2N,3652,POR,448,KOK,435,3375,14207,47948625,31166606.25,16782018.75
2N,3652,TKU,460,MHQ,442,3001,9488,28473488,18507767.2,9965720.8
2N,3652,TRF,664,ARN,737,11736,9431,110682216,71943440.4,38738775.599999994
2N,3652,VBY,746,ARN,737,22848,2857,65276736,42429878.4,22846857.6
2N,3652,VHM,729,ARN,737,24557,11614,285204998,185383248.70000002,99821749.29999998
2N,3652,VHM,729,HMV,5599,6007,17184,103224288,67095787.2,36128500.8
2N,3652,VXO,711,ARN,737,23616,2188,51671808,33586675.2,18085132.799999997
2N,3652,VXO,711,OSL,644,6757,14922,100827954,65538170.1,35289783.9
2O,146,ADQ,3531,AOS,7167,15614,11057,172643998,112218598.7,60425399.3
2O,146,ADQ,3531,KKB,7168,22535,18981,427736835,278028942.75,149707892.25
2O,146,ADQ,3531,KLN,7162,23515,8543,200888645,130577619.25,70311025.75
2O,146,ADQ,3531,KOZ,7164,7143,11776,84115968,54675379.2,29440588.799999997
2O,146,ADQ,3531,OLH,7163,19974,19842,396324108,257610670.20000002,138713437.79999998
2O,146,AOS,7167,KZB,7176,11512,13141,151279192,98331474.8,52947717.2
2O,146,KKB,7168,SYB,7173,24460,8687,212484020,138114613.0,74369407.0
2O,146,KLN,7162,KYK,7161,11547,8430,97341210,63271786.5,34069423.5
2O,146,KOZ,7164,ORI,7165,13584,15762,214111008,139172155.20000002,74938852.79999998
2O,146,SYB,7173,KPR,7172,4906,15305,75086330,48806114.5,26280215.5
2P,897,BSO,6019,MNL,2397,3093,14713,45507309,29579750.85,15927558.149999999
2P,897,BXU,4200,MNL,2397,22509,11736,264165624,171707655.6,92457968.4
2P,897,CBO,2399,MNL,2397,8117,17313,140529621,91344253.65,49185367.349999994
2P,897,CGY,2400,MNL,2397,3307,9347,30910529,20091843.85,10818685.149999999
2P,897,CRM,6024,MNL,2397,16994,640,10876160,7069504.0,3806656.0
2P,897,DGT,2425,MNL,2397,13511,1032,13943352,9063178.8,4880173.199999999
2P,897,DWC,8076,MNL,2397,8487,13358,113369346,73690074.9,39679271.099999994
2P,897,GES,2402,MNL,2397,4692,10949,51372708,33392260.200000003,17980447.799999997
2P,897,KLO,2430,MNL,2397,13663,7136,97499168,63374459.2,34124708.8
2P,897,LGP,4203,MNL,2397,8466,10582,89587212,58231687.800000004,31355524.199999996
2P,897,MNL,2397,BSO,6019,24598,6408,157623984,102455589.60000001,55168394.39999999
2P,897,MNL,2397,BXU,4200,8858,17810,157760980,102544637.0,55216343.0
2P,897,MNL,2397,CBO,2399,21174,2036,43110264,28021671.6,15088592.399999999
2P,897,MNL,2397,CGY,2400,12948,9358,121167384,78758799.60000001,42408584.39999999
2P,897,MNL,2397,CRM,6024,12986,17657,229293802,149040971.3,80252830.69999999
2P,897,MNL,2397,DGT,2425,16150,15128,244317200,158806180.0,85511020.0
2P,897,MNL,2397,DWC,8076,3430,10830,37146900,24145485.0,13001415.0
2P,897,MNL,2397,GES,2402,18802,13403,252003206,163802083.9,88201122.1
2P,897,MNL,2397,KLO,2430,8549,2012,17200588,11180382.200000001,6020205.799999999
2P,897,MNL,2397,LGP,4203,16297,14064,229201008,148980655.20000002,80220352.79999998
2P,897,MNL,2397,MPH,2426,3827,6669,25522263,16589470.950000001,8932792.049999999
2P,897,MNL,2397,OZC,4204,12529,2035,25496515,16572734.75,8923780.25
2P,897,MNL,2397,PPS,2433,23036,14538,334897368,217683289.20000002,117214078.79999998
2P,897,MNL,2397,RXS,6026,23103,9430,217861290,141609838.5,76251451.5
2P,897,MNL,2397,SUG,6016,24822,7621,189168462,122959500.3,66208961.7
2P,897,MNL,2397,TUG,6021,6083,8412,51170196,33260627.400000002,17909568.599999998
2P,897,MNL,2397,ZAM,2404,24487,9601,235099687,152814796.55,82284890.44999999
2P,897,MPH,2426,MNL,2397,22294,18351,409117194,265926176.10000002,143191017.89999998
2P,897,OZC,4204,MNL,2397,5308,5464,29002912,18851892.8,10151019.2
2P,897,PPS,2433,MNL,2397,4556,2442,11125752,7231738.8,3894013.2
2P,897,RXS,6026,MNL,2397,5085,19305,98165925,63807851.25,34358073.75
2P,897,SUG,6016,MNL,2397,23053,14318,330072854,214547355.1,115525498.9
2P,897,TUG,6021,MNL,2397,8162,12501,102033162,66321555.300000004,35711606.699999996
2P,897,ZAM,2404,MNL,2397,10266,13478,138365148,89937346.2,48427801.8
2Z,1729,AUX,7376,PMW,4214,5164,19378,100067992,65044194.800000004,35023797.199999996
2Z,1729,BRA,7373,BSB,2531,11860,1017,12061620,7840053.0,4221567.0
2Z,1729,BRA,7373,SSA,2621,15439,19353,298790967,194214128.55,104576838.44999999
2Z,1729,BSB,2531,BRA,7373,12946,18484,239293864,155541011.6,83752852.4
2Z,1729,BSB,2531,OPS,7367,5678,14608,82944224,53913745.6,29030478.4
2Z,1729,BSB,2531,RAO,2613,24848,15289,379901072,246935696.8,132965375.19999999
2Z,1729,CAC,2535,GRU,2564,8285,16863,139709955,90811470.75,48898484.25
2Z,1729,CGB,2548,GYN,2562,8103,2518,20403354,13262180.1,7141173.9
2Z,1729,CGB,2548,OPS,7367,5097,6979,35571963,23121775.95,12450187.05
2Z,1729,CGR,2538,DOU,7380,7087,17338,122874406,79868363.9,43006042.099999994
2Z,1729,DOU,7380,CGR,2538,3235,17119,55379965,35996977.25,19382987.75
2Z,1729,DOU,7380,GRU,2564,10480,12847,134636560,87513764.0,47122796.0
2Z,1729,GIG,2560,RAO,2613,7365,16302,120064230,78041749.5,42022480.5
2Z,1729,GRU,2564,CAC,2535,24387,9609,234334683,152317543.95000002,82017139.04999998
2Z,1729,GRU,2564,DOU,7380,13239,9278,122831442,79840437.3,42991004.7
2Z,1729,GRU,2564,RAO,2613,14932,12506,186739592,121380734.8,65358857.2
2Z,1729,GRU,2564,UBA,2635,9609,18133,174239997,113255998.05,60983998.95
2Z,1729,GRU,2564,UDI,2633,13140,1960,25754400,16740360.0,9014040.0
2Z,1729,GRU,2564,VDC,6039,20170,10562,213035540,138473101.0,74562439.0
2Z,1729,GYN,2562,CGB,2548,16710,8106,135451260,88043319.0,47407941.0
2Z,1729,GYN,2562,PMW,4214,9924,8162,80999688,52649797.2,28349890.799999997
2Z,1729,GYN,2562,RAO,2613,6892,11383,78451636,50993563.4,27458072.6
2Z,1729,GYN,2562,UDI,2633,11661,6404,74677044,48540078.6,26136965.4
2Z,1729,OPS,7367,BSB,2531,21632,19198,415291136,269939238.40000004,145351897.59999996
2Z,1729,OPS,7367,CGB,2548,12156,15853,192709068,125260894.2,67448173.8
2Z,1729,PLU,2528,RAO,2613,8692,10024,87128608,56633595.2,30495012.799999997
2Z,1729,PMW,4214,AUX,7376,21513,17060,367011780,238557657.0,128454123.0
2Z,1729,PMW,4214,GYN,2562,24886,9648,240100128,156065083.20000002,84035044.79999998
2Z,1729,RAO,2613,BSB,2531,21541,3383,72873203,47367581.95,25505621.049999997
2Z,1729,RAO,2613,GIG,2560,11068,9918,109772424,71352075.60000001,38420348.39999999
2Z,1729,RAO,2613,GRU,2564,20235,17068,345370980,224491137.0,120879843.0
2Z,1729,RAO,2613,GYN,2562,8598,11719,100759962,65493975.300000004,35265986.699999996
2Z,1729,RAO,2613,PLU,2528,10897,12513,136354161,88630204.65,47723956.349999994
2Z,1729,RAO,2613,SJP,2619,14320,6454,92421280,60073832.0,32347448.0
2Z,1729,RAO,2613,UDI,2633,23230,8022,186351060,121128189.0,65222871.0
2Z,1729,SJP,2619,RAO,2613,5877,591,3473307,2257649.5500000003,1215657.4499999997
2Z,1729,SSA,2621,BRA,7373,20573,18328,377061944,245090263.6,131971680.4
2Z,1729,SSA,2621,VDC,6039,20956,8122,170204632,110633010.8,59571621.2
2Z,1729,UBA,2635,GRU,2564,17462,17599,307313738,199753929.70000002,107559808.29999998
2Z,1729,UBA,2635,UDI,2633,7572,16571,125475612,81559147.8,43916464.2
2Z,1729,UDI,2633,GRU,2564,18818,15469,291095642,189212167.3,101883474.69999999
2Z,1729,UDI,2633,GYN,2562,19887,11157,221879259,144221518.35,77657740.65
2Z,1729,UDI,2633,RAO,2613,4159,13267,55177453,35865344.45,19312108.549999997
2Z,1729,UDI,2633,UBA,2635,19282,17072,329182304,213968497.6,115213806.4
2Z,1729,VDC,6039,GRU,2564,6003,3201,19215603,12490141.950000001,6725461.049999999
2Z,1729,VDC,6039,SSA,2621,5664,16225,91898400,59733960.0,32164440.0
3E,10739,BRL,5726,ORD,3830,3935,3658,14394230,9356249.5,5037980.5
3E,10739,BRL,5726,STL,3678,14933,2374,35450942,23043112.3,12407829.7
3E,10739,DEC,4042,ORD,3830,10698,995,10644510,6918931.5,3725578.5
3E,10739,DEC,4042,STL,3678,21635,3518,76111930,49472754.5,26639175.5
3E,10739,JBR,3591,STL,3678,6809,6872,46791448,30414441.2,16377006.8
3E,10739,ORD,3830,BRL,5726,4791,11001,52705791,34258764.15,18447026.85
3E,10739,ORD,3830,DEC,4042,10425,14551,151694175,98601213.75,53092961.25
3E,10739,STL,3678,BRL,5726,3727,17509,65256043,42416427.95,22839615.049999997
3E,10739,STL,3678,DEC,4042,23519,7948,186929012,121503857.8,65425154.2
3E,10739,STL,3678,JBR,3591,22685,9017,204550645,132957919.25,71592725.75
3F,16262,CGA,7144,HYL,7145,3426,9987,34215462,22240050.3,11975411.7
3F,16262,CGA,7144,KTN,3808,21939,18632,408767448,265698841.20000002,143068606.79999998
3F,16262,HYL,7145,CGA,7144,4642,17213,79902746,51936784.9,27965961.1
3F,16262,HYL,7145,KTB,7147,10645,8936,95123720,61830418.0,33293302.0
3F,16262,HYL,7145,KTN,3808,10299,6592,67891008,44129155.2,23761852.799999997
3F,16262,KTB,7147,HYL,7145,22187,19222,426478514,277211034.1,149267479.89999998
3F,16262,KTB,7147,KTN,3808,5244,624,3272256,2126966.4,1145289.6
3F,16262,KTN,3808,CGA,7144,12553,676,8485828,5515788.2,2970039.8
3F,16262,KTN,3808,HYL,7145,16373,6846,112089558,72858212.7,39231345.3
3F,16262,KTN,3808,KTB,7147,14852,10970,162926440,105902186.0,57024254.0
3F,16262,KTN,3808,MTM,7146,14504,8182,118671728,77136623.2,41535104.8
3F,16262,MTM,7146,KTN,3808,17833,14788,263714404,171414362.6,92300041.4
3G,595,ACC,248,DKR,1084,16739,15254,255336706,165968858.9,89367847.1
3G,595,ACC,248,LOS,273,4550,15540,70707000,45959550.0,24747450.0
3G,595,ACC,248,ROB,1063,4205,12996,54648180,35521317.0,19126863.0
3G,595,BCN,1218,BJL,1050,20910,2439,50999490,33149668.5,17849821.5
3G,595,BJL,1050,BCN,1218,11680,15379,179626720,116757368.0,62869352.0
3G,595,BJL,1050,DKR,1084,19203,14322,275025366,178766487.9,96258878.1
3G,595,BJL,1050,FNA,1059,17947,13233,237492651,154370223.15,83122427.85
3G,595,CKY,4162,OXB,5665,11940,16234,193833960,125992074.0,67841886.0
3G,595,DKR,1084,ACC,248,24714,9446,233448444,151741488.6,81706955.4
3G,595,DKR,1084,BJL,1050,21864,2577,56343528,36623293.2,19720234.799999997
3G,595,DKR,1084,DLA,897,6004,2193,13166772,8558401.8,4608370.199999999
3G,595,DKR,1084,FNA,1059,8845,13819,122229055,79448885.75,42780169.25
3G,595,DKR,1084,LOS,273,10268,13882,142540376,92651244.4,49889131.599999994
3G,595,DKR,1084,OXB,5665,11730,12183,142906590,92889283.5,50017306.5
3G,595,DLA,897,DKR,1084,7225,7017,50697825,32953586.25,17744238.75
3G,595,DLA,897,LOS,273,7817,4576,35770592,23250884.8,12519707.2
3G,595,FNA,1059,BJL,1050,23932,6422,153691304,99899347.60000001,53791956.39999999
3G,595,FNA,1059,DKR,1084,11420,19687,224825540,146136601.0,78688939.0
3G,595,FNA,1059,LGW,502,12902,10948,141251096,91813212.4,49437883.599999994
3G,595,FNA,1059,ROB,1063,21259,3716,78998444,51348988.6,27649455.4
3G,595,LGW,502,FNA,1059,18634,6434,119891156,77929251.4,41961904.599999994
3G,595,LOS,273,ACC,248,18674,13820,258074680,167748542.0,90326138.0
3G,595,LOS,273,DKR,1084,8946,7468,66808728,43425673.2,23383054.799999997
3G,595,LOS,273,DLA,897,14468,10555,152709740,99261331.0,53448409.0
3G,595,LOS,273,ROB,1063,7560,11167,84422520,54874638.0,29547882.0
3G,595,OXB,5665,CKY,4162,15541,7456,115873696,75317902.4,40555793.599999994
3G,595,OXB,5665,DKR,1084,20974,3131,65669594,42685236.1,22984357.9
3G,595,ROB,1063,ACC,248,6638,2874,19077612,12400447.8,6677164.199999999
3G,595,ROB,1063,FNA,1059,19210,1871,35941910,23362241.5,12579668.5
3G,595,ROB,1063,LOS,273,14017,10267,143912539,93543150.35000001,50369388.64999999
3H,\N,AKV,5506,YIK,5504,22616,8244,186446304,121190097.60000001,65256206.39999999
3H,\N,AKV,5506,YPX,6727,21764,3930,85532520,55596138.0,29936382.0
3H,\N,XGR,5512,YVP,154,5040,5691,28682640,18643716.0,10038924.0
3H,\N,YGL,62,YGW,5496,11633,14435,167922355,109149530.75,58772824.25
3H,\N,YGL,62,YPX,6727,11744,2497,29324768,19061099.2,10263668.8
3H,\N,YGL,62,YUL,146,5918,8985,53173230,34562599.5,18610630.5
3H,\N,YGW,5496,YGL,62,24027,19423,466676421,303339673.65000004,163336747.34999996
3H,\N,YGW,5496,YPH,5520,8173,15037,122897401,79883310.65,43014090.349999994
3H,\N,YGW,5496,YSK,5529,19427,19341,375737607,244229444.55,131508162.44999999
3H,\N,YGW,5496,YUD,5515,21850,8762,191449700,124442305.0,67007395.0
3H,\N,YGW,5496,YUL,146,19512,13526,263919312,171547552.8,92371759.19999999
3H,\N,YGW,5496,YUY,149,11553,12706,146792418,95415071.7,51377346.3
3H,\N,YIK,5504,AKV,5506,21744,719,15633936,10162058.4,5471877.6
3H,\N,YIK,5504,YZG,5535,10978,4990,54780220,35607143.0,19173077.0
3H,\N,YKG,5481,YPJ,5508,21292,18865,401673580,261087827.0,140585753.0
3H,\N,YKG,5481,YQC,5499,8529,16663,142118727,92377172.55,49741554.45
